rule_def_id,type_code,type_group,type_name,natural_language_condition,rule_expression,reason_text,priority_order,reference_columns,active_flag,effective_from,effective_to,version_no,explanation_template,created_at,updated_at
1,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2024-01-01,,1,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2024-01-01T08:30:00Z,2024-02-01T08:30:00Z
2,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2024-09-01,,2,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2024-09-01T08:30:00Z,2024-10-01T08:30:00Z
3,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2025-05-01,,3,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2025-05-01T08:30:00Z,2025-06-01T08:30:00Z
4,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2026-01-01,,4,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2026-01-01T08:30:00Z,2026-02-01T08:30:00Z
5,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2026-09-01,,5,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2026-09-01T08:30:00Z,2026-10-01T08:30:00Z
6,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2027-05-01,,6,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2027-05-01T08:30:00Z,2027-06-01T08:30:00Z
7,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2028-01-01,,7,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2028-01-01T08:30:00Z,2028-02-01T08:30:00Z
8,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2028-09-01,,8,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2028-09-01T08:30:00Z,2028-10-01T08:30:00Z
9,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2029-05-01,,9,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2029-05-01T08:30:00Z,2029-06-01T08:30:00Z
10,A01,자동지급,비대면 소액 통원,접수경로가 비대면이고 진료구분이 통원이며 총발생의료비가 10만원 이하인 청구,접수경로='비대면' AND 진료구분='통원' AND 총발생의료비<=100000,소액·비대면·통원은 분쟁 및 부지급/삭감 발생 확률이 낮음,101,"접수경로,진료구분,총발생의료비",Y,2030-01-01,,10,비대면 소액 통원에 해당하면 자동지급로 판정한다.,2030-01-01T08:30:00Z,2030-02-01T08:30:00Z
