rule_def_id,type_code,type_group,type_name,natural_language_condition,rule_expression,reason_text,priority_order,reference_columns,active_flag,effective_from,effective_to,version_no,explanation_template,created_at,updated_at
1,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2024-01-01,,1,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2024-01-01T08:30:00Z,2024-02-01T08:30:00Z
2,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2025-02-01,,2,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2025-02-01T08:30:00Z,2025-03-01T08:30:00Z
3,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2026-03-01,,3,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2026-03-01T08:30:00Z,2026-04-01T08:30:00Z
4,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2027-04-01,,4,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2027-04-01T08:30:00Z,2027-05-01T08:30:00Z
5,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2028-05-01,,5,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2028-05-01T08:30:00Z,2028-06-01T08:30:00Z
6,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2029-06-01,,6,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2029-06-01T08:30:00Z,2029-07-01T08:30:00Z
7,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2030-07-01,,7,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2030-07-01T08:30:00Z,2030-08-01T08:30:00Z
8,E01,제외(인심사),부담보 계약,부담보(특정 부위·질병 면책)가 설정된 계약의 청구,부담보여부='Y',청구 부위가 부담보 대상인지 대사 필요,1,부담보여부,Y,2031-08-01,,8,부담보 계약에 해당하면 제외(인심사)로 판정한다.,2031-08-01T08:30:00Z,2031-09-01T08:30:00Z
9,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2024-02-01,,1,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2024-02-01T08:30:00Z,2024-03-01T08:30:00Z
10,E02,제외(인심사),비급여 주사료 고액,비급여 주사료가 20만원을 초과하는 청구,비급여_주사료>200000,"영양제·미용목적 등 면책 가능성, 적정성 확인 필요",2,비급여_주사료,Y,2025-03-01,,2,비급여 주사료 고액에 해당하면 제외(인심사)로 판정한다.,2025-03-01T08:30:00Z,2025-04-01T08:30:00Z
